"cve_id","product","id","flag"
"CVE-2013-0866","ffmpeg/ffmpeg","c459c7b23efffab762560e41ad6a2c0dbbfd4915","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_AAC_DECODER)) | (defined(CONFIG_AAC_DEMUXER)))"
"CVE-2013-0867","ffmpeg/ffmpeg","3ef1538121fa6daeb1767510f1d4ae2c306c9fec","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_SVQ3_DECODER)) | (defined(CONFIG_H264_PARSER)) | (defined(CONFIG_H264_DECODER)))"
"CVE-2013-0868","ffmpeg/ffmpeg","75e88db33013eaa7ab74457f5556df677b4ffb42","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_FFVHUFF_DECODER)) | (defined(CONFIG_HUFFYUV_DECODER)))"
"CVE-2013-0868","ffmpeg/ffmpeg","6baa54924980e1f0e8121e4715d16ed1adcd2a23","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_FFVHUFF_DECODER)) | (defined(CONFIG_HUFFYUV_DECODER)))"
"CVE-2013-0869","ffmpeg/ffmpeg","eaa9d2cd6b8c1e2722d5bfc56ea67fde865200ce","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_H264_DECODER)) | (defined(CONFIG_SVQ3_DECODER)) | (defined(CONFIG_H264_PARSER)))"
"CVE-2013-0870","ffmpeg/ffmpeg","14c8ee00ffd9d45e6e0c6f11a957ce7e56f7eb3a","(defined(CONFIG_THEORA_DECODER)) & (defined(CONFIG_AVCODEC)) & (defined(CONFIG_VP3_DECODER))"
"CVE-2013-0873","ffmpeg/ffmpeg","4f1279154ee9baf2078241bf5619774970d18b25","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_SHORTEN_DECODER))"
"CVE-2013-0874","ffmpeg/ffmpeg","e1219cdaf9fb4bc8cea410e1caf802373c1bfe51","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_TIFF_DECODER))"
"CVE-2013-0875","ffmpeg/ffmpeg","1ac0fa50eff30d413206cffa5f47f7fe6d4849b1","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_PNG_DECODER))"
"CVE-2013-0876","ffmpeg/ffmpeg","5260edee7e5bd975837696c8c8c1a80eb2fbd7c1","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_SANM_DECODER))"
